Ax;Ay;Bx;By;Mx;My;Nx;Ny;Vp;vp_raw;varvp;varvp_raw;tensao;corrente;step;potencia;resistencia corrente;resistividade
7.0;0.0;12.0;0.0;9.0;0.0;10.0;0.0;16.94;947546.0;0.0;2.0;28.24;11.41;40.0;128.0;2475.0;27.985
6.0;0.0;13.0;0.0;9.0;0.0;10.0;0.0;16.93;946781.0;0.0;0.0;28.67;11.2;41.0;128.0;2560.0;56.986
5.0;0.0;14.0;0.0;9.0;0.0;10.0;0.0;17.14;958502.0;0.0;2.0;28.66;11.34;42.0;128.0;2527.0;94.968
5.0;0.0;15.0;0.0;9.0;0.0;11.0;0.0;34.64;1936975.0;0.0;37.0;28.31;11.38;43.0;128.0;2488.0;114.754
3.0;0.0;17.0;0.0;9.0;0.0;11.0;0.0;34.66;1938327.0;0.0;11.0;28.29;11.46;44.0;128.0;2469.0;228.037
1.0;0.0;19.0;0.0;9.0;0.0;11.0;0.0;34.66;1938578.0;0.0;36.0;28.47;11.49;45.0;128.0;2478.0;379.069
0.0;0.0;21.0;0.0;9.0;0.0;12.0;0.0;52.04;2910326.0;0.0;15.0;28.53;11.54;46.0;128.0;2472.0;510.016
9.0;0.0;12.0;0.0;10.0;0.0;11.0;0.0;17.17;960203.0;0.0;1.0;28.08;11.5;47.0;128.0;2442.0;9.381
8.0;0.0;13.0;0.0;10.0;0.0;11.0;0.0;17.14;958758.0;0.0;6.0;28.21;11.44;48.0;128.0;2466.0;28.241
7.0;0.0;14.0;0.0;10.0;0.0;11.0;0.0;17.1;956453.0;0.0;1.0;28.38;11.37;49.0;128.0;2496.0;56.698
6.0;0.0;15.0;0.0;10.0;0.0;11.0;0.0;17.05;953584.0;0.0;0.0;28.17;11.39;50.0;128.0;2473.0;94.055
6.0;0.0;16.0;0.0;10.0;0.0;12.0;0.0;34.87;1949841.0;0.0;8.0;28.56;11.46;51.0;128.0;2492.0;114.709
4.0;0.0;18.0;0.0;10.0;0.0;12.0;0.0;34.84;1948128.0;0.0;39.0;28.5;11.61;52.0;128.0;2455.0;226.26
2.0;0.0;20.0;0.0;10.0;0.0;12.0;0.0;34.61;1935765.0;0.0;43.0;28.09;11.66;53.0;128.0;2409.0;373.004
1.0;0.0;22.0;0.0;10.0;0.0;13.0;0.0;52.17;2917668.0;0.0;69.0;28.27;11.58;54.0;128.0;2441.0;509.524
10.0;0.0;13.0;0.0;11.0;0.0;12.0;0.0;17.2;961928.0;0.0;8.0;28.32;11.53;55.0;128.0;2456.0;9.373
9.0;0.0;14.0;0.0;11.0;0.0;12.0;0.0;17.32;968556.0;0.0;0.0;28.11;11.52;56.0;128.0;2440.0;28.34
8.0;0.0;15.0;0.0;11.0;0.0;12.0;0.0;17.15;959208.0;0.0;1.0;28.59;11.57;57.0;128.0;2471.0;55.881
7.0;0.0;16.0;0.0;11.0;0.0;12.0;0.0;17.26;965007.0;0.0;6.0;28.47;11.53;58.0;128.0;2469.0;94.057
7.0;0.0;17.0;0.0;11.0;0.0;13.0;0.0;34.95;1954648.0;0.0;32.0;28.7;11.55;59.0;128.0;2485.0;114.077
5.0;0.0;19.0;0.0;11.0;0.0;13.0;0.0;34.77;1944529.0;0.0;12.0;28.24;11.5;60.0;128.0;2456.0;227.965
3.0;0.0;21.0;0.0;11.0;0.0;13.0;0.0;34.79;1945773.0;0.0;0.0;28.5;11.55;61.0;128.0;2468.0;378.514
2.0;0.0;23.0;0.0;11.0;0.0;14.0;0.0;52.13;2915595.0;0.0;6.0;28.52;11.29;62.0;128.0;2526.0;522.211
11.0;0.0;14.0;0.0;12.0;0.0;13.0;0.0;17.36;970592.0;0.0;0.0;28.17;11.45;63.0;128.0;2460.0;9.526
10.0;0.0;15.0;0.0;12.0;0.0;13.0;0.0;17.13;958005.0;0.0;0.0;28.14;11.35;64.0;128.0;2479.0;28.449
9.0;0.0;16.0;0.0;12.0;0.0;13.0;0.0;17.18;960768.0;0.0;2.0;28.24;11.26;65.0;128.0;2508.0;57.52
8.0;0.0;17.0;0.0;12.0;0.0;13.0;0.0;17.28;966620.0;0.0;0.0;28.23;11.42;66.0;128.0;2472.0;95.073
8.0;0.0;18.0;0.0;12.0;0.0;14.0;0.0;34.6;1935101.0;0.0;1.0;28.15;11.5;67.0;128.0;2448.0;113.425
6.0;0.0;20.0;0.0;12.0;0.0;14.0;0.0;34.73;1941992.0;0.0;0.0;28.27;11.4;68.0;128.0;2480.0;229.7
4.0;0.0;22.0;0.0;12.0;0.0;14.0;0.0;35.07;1961108.0;0.0;5.0;28.15;11.48;69.0;128.0;2452.0;383.887
3.0;0.0;24.0;0.0;12.0;0.0;15.0;0.0;52.04;2910352.0;0.0;27.0;28.47;11.22;70.0;128.0;2537.0;524.562
0.0;0.0;27.0;0.0;12.0;0.0;15.0;0.0;51.97;2906275.0;0.0;2.0;28.56;11.26;71.0;128.0;2536.0;869.992
0.0;0.0;28.0;0.0;12.0;0.0;16.0;0.0;69.44;3883124.0;0.0;222.0;28.43;11.22;72.0;128.0;2534.0;933.271
12.0;0.0;15.0;0.0;13.0;0.0;14.0;0.0;17.17;960416.0;0.0;1.0;28.53;11.28;73.0;128.0;2529.0;9.564
11.0;0.0;16.0;0.0;13.0;0.0;14.0;0.0;17.15;958874.0;0.0;0.0;28.59;11.31;74.0;128.0;2528.0;28.583
10.0;0.0;17.0;0.0;13.0;0.0;14.0;0.0;17.21;962732.0;0.0;11.0;28.49;11.45;75.0;128.0;2488.0;56.664
9.0;0.0;18.0;0.0;13.0;0.0;14.0;0.0;17.19;961117.0;0.0;1.0;28.37;11.4;76.0;128.0;2489.0;94.744
9.0;0.0;19.0;0.0;13.0;0.0;15.0;0.0;34.69;1939919.0;0.0;3.0;28.23;11.36;77.0;128.0;2485.0;115.122
7.0;0.0;21.0;0.0;13.0;0.0;15.0;0.0;34.7;1940316.0;0.0;2.0;28.72;11.08;78.0;128.0;2592.0;236.13
5.0;0.0;23.0;0.0;13.0;0.0;15.0;0.0;34.77;1944731.0;0.0;7.0;28.52;11.25;79.0;128.0;2535.0;388.385
4.0;0.0;25.0;0.0;13.0;0.0;16.0;0.0;52.52;2937290.0;0.0;7.0;28.44;11.4;80.0;128.0;2495.0;521.041
1.0;0.0;28.0;0.0;13.0;0.0;16.0;0.0;52.14;2915642.0;0.0;12.0;28.5;11.3;81.0;128.0;2522.0;869.749
1.0;0.0;29.0;0.0;13.0;0.0;17.0;0.0;69.4;3880991.0;0.0;7.0;28.64;11.39;82.0;128.0;2514.0;918.812
13.0;0.0;16.0;0.0;14.0;0.0;15.0;0.0;17.23;963643.0;0.0;2.0;28.29;11.46;83.0;128.0;2469.0;9.447
12.0;0.0;17.0;0.0;14.0;0.0;15.0;0.0;17.15;959184.0;0.0;0.0;28.38;11.25;84.0;128.0;2523.0;28.735
11.0;0.0;18.0;0.0;14.0;0.0;15.0;0.0;17.33;969344.0;0.0;1.0;28.31;11.42;85.0;128.0;2479.0;57.209
10.0;0.0;19.0;0.0;14.0;0.0;15.0;0.0;17.27;965591.0;0.0;7.0;28.44;11.36;86.0;128.0;2504.0;95.52
10.0;0.0;20.0;0.0;14.0;0.0;16.0;0.0;34.62;1936223.0;0.0;7.0;28.17;11.24;87.0;128.0;2506.0;116.116
8.0;0.0;22.0;0.0;14.0;0.0;16.0;0.0;34.8;1946228.0;0.0;7.0;28.15;11.16;88.0;128.0;2522.0;235.113
6.0;0.0;24.0;0.0;14.0;0.0;16.0;0.0;34.64;1937329.0;0.0;83.0;28.67;11.24;89.0;128.0;2551.0;387.277
5.0;0.0;26.0;0.0;14.0;0.0;17.0;0.0;51.93;2904280.0;0.0;13.0;28.4;11.2;90.0;128.0;2536.0;524.388
2.0;0.0;29.0;0.0;14.0;0.0;17.0;0.0;52.08;2912592.0;0.0;16.0;28.31;11.36;91.0;128.0;2492.0;864.159
2.0;0.0;30.0;0.0;14.0;0.0;18.0;0.0;69.4;3881273.0;0.0;120.0;28.43;11.16;92.0;128.0;2547.0;937.749
14.0;0.0;17.0;0.0;15.0;0.0;16.0;0.0;17.28;966322.0;0.0;0.0;28.31;11.32;93.0;128.0;2501.0;9.591
13.0;0.0;18.0;0.0;15.0;0.0;16.0;0.0;17.25;964635.0;0.0;1.0;28.44;11.28;94.0;128.0;2521.0;28.826
12.0;0.0;19.0;0.0;15.0;0.0;16.0;0.0;17.16;959743.0;0.0;2.0;28.2;11.35;95.0;128.0;2485.0;56.997
11.0;0.0;20.0;0.0;15.0;0.0;16.0;0.0;17.11;957122.0;0.0;2.0;28.26;11.44;96.0;128.0;2470.0;93.973
11.0;0.0;21.0;0.0;15.0;0.0;17.0;0.0;34.85;1948742.0;0.0;13.0;28.44;11.4;97.0;128.0;2495.0;115.247
9.0;0.0;23.0;0.0;15.0;0.0;17.0;0.0;34.58;1933827.0;0.0;0.0;28.7;11.3;98.0;128.0;2540.0;230.732
7.0;0.0;25.0;0.0;15.0;0.0;17.0;0.0;34.69;1940116.0;0.0;21.0;28.5;11.29;99.0;128.0;2524.0;386.118
6.0;0.0;27.0;0.0;15.0;0.0;18.0;0.0;51.96;2905647.0;0.0;88.0;28.72;11.39;100.0;128.0;2522.0;515.938
3.0;0.0;30.0;0.0;15.0;0.0;18.0;0.0;51.77;2895402.0;0.0;10.0;28.75;11.38;101.0;128.0;2526.0;857.506
3.0;0.0;31.0;0.0;15.0;0.0;19.0;0.0;69.1;3864312.0;0.0;51.0;28.66;11.18;102.0;128.0;2564.0;932.025
15.0;0.0;18.0;0.0;16.0;0.0;17.0;0.0;17.1;956399.0;0.0;0.0;28.46;11.29;103.0;128.0;2521.0;9.517
14.0;0.0;19.0;0.0;16.0;0.0;17.0;0.0;17.19;961130.0;0.0;0.0;28.17;11.29;104.0;128.0;2495.0;28.7
13.0;0.0;20.0;0.0;16.0;0.0;17.0;0.0;16.96;948202.0;0.0;1.0;28.27;11.39;105.0;128.0;2482.0;56.135
12.0;0.0;21.0;0.0;16.0;0.0;17.0;0.0;17.01;951034.0;0.0;2.0;28.27;11.38;106.0;128.0;2484.0;93.917
12.0;0.0;22.0;0.0;16.0;0.0;18.0;0.0;34.76;1944117.0;0.0;6.0;28.47;11.42;107.0;128.0;2493.0;114.748
10.0;0.0;24.0;0.0;16.0;0.0;18.0;0.0;34.48;1928540.0;0.0;25.0;28.29;11.24;108.0;128.0;2517.0;231.293
8.0;0.0;26.0;0.0;16.0;0.0;18.0;0.0;34.62;1935946.0;0.0;39.0;28.67;11.18;109.0;128.0;2564.0;389.13
7.0;0.0;28.0;0.0;16.0;0.0;19.0;0.0;51.88;2901573.0;0.0;31.0;28.55;11.23;110.0;128.0;2542.0;522.484
