Ax;Ay;Bx;By;Mx;My;Nx;Ny;Vp;vp_raw;varvp;varvp_raw;tensao;corrente;step;potencia;resistencia corrente;resistividade
220.0;0.0;207.5;0.0;215.0;0.0;212.5;0.0;83.09;4646532.0;0.0;128.0;94.27;25.79;40.0;3.0;3655.0;151.823
222.5;0.0;205.0;0.0;215.0;0.0;212.5;0.0;52.41;2931107.0;0.0;0.0;97.11;32.96;41.0;4.0;2946.0;149.864
225.0;0.0;202.5;0.0;215.0;0.0;212.5;0.0;36.63;2048732.0;0.0;11.0;92.53;34.48;42.0;4.0;2684.0;166.874
225.0;0.0;200.0;0.0;215.0;0.0;210.0;0.0;75.02;4195379.0;0.0;39.0;83.77;38.4;43.0;4.0;2182.0;184.127
230.0;0.0;195.0;0.0;215.0;0.0;210.0;0.0;36.75;2055086.0;0.0;15.0;105.35;30.04;44.0;4.0;3507.0;230.6
235.0;0.0;190.0;0.0;215.0;0.0;210.0;0.0;31.31;1751192.0;0.0;82.0;94.09;33.59;45.0;4.0;2801.0;292.835
237.5;0.0;185.0;0.0;215.0;0.0;207.5;0.0;42.59;2381881.0;0.0;32.0;115.25;35.26;46.0;5.0;3269.0;341.521
215.0;0.0;207.5;0.0;212.5;0.0;210.0;0.0;495.52;27711222.0;0.01;1588.0;74.3;33.39;47.0;3.0;2225.0;233.112
217.5;0.0;205.0;0.0;212.5;0.0;210.0;0.0;87.48;4892183.0;0.0;257.0;86.91;27.59;48.0;3.0;3150.0;149.416
220.0;0.0;202.5;0.0;212.5;0.0;210.0;0.0;46.61;2606723.0;0.0;0.0;107.73;29.46;49.0;4.0;3657.0;149.114
222.5;0.0;200.0;0.0;212.5;0.0;210.0;0.0;39.8;2225638.0;0.0;0.0;90.55;35.58;50.0;4.0;2545.0;175.71
222.5;0.0;197.5;0.0;212.5;0.0;207.5;0.0;72.71;4065970.0;0.0;64.0;89.19;35.97;51.0;4.0;2480.0;190.513
227.5;0.0;192.5;0.0;212.5;0.0;207.5;0.0;51.18;2861978.0;0.0;204.0;78.17;41.62;52.0;4.0;1878.0;231.792
232.5;0.0;187.5;0.0;212.5;0.0;207.5;0.0;28.89;1615748.0;0.0;10.0;101.53;31.28;53.0;4.0;3246.0;290.155
235.0;0.0;182.5;0.0;212.5;0.0;205.0;0.0;44.69;2499164.0;0.0;18.0;107.91;38.1;54.0;5.0;2832.0;331.648
212.5;0.0;205.0;0.0;210.0;0.0;207.5;0.0;546.09;30539713.0;0.03;7554.0;77.85;32.31;55.0;3.0;2409.0;265.489
215.0;0.0;202.5;0.0;210.0;0.0;207.5;0.0;97.95;5477531.0;0.0;270.0;73.26;33.94;56.0;3.0;2159.0;135.998
217.5;0.0;200.0;0.0;210.0;0.0;207.5;0.0;57.09;3192906.0;0.0;96.0;94.28;33.85;57.0;4.0;2785.0;158.954
220.0;0.0;197.5;0.0;210.0;0.0;207.5;0.0;36.98;2068270.0;0.0;2.0;97.9;32.23;58.0;4.0;3038.0;180.23
220.0;0.0;195.0;0.0;210.0;0.0;205.0;0.0;61.14;3419032.0;0.0;125.0;101.81;30.75;59.0;4.0;3311.0;187.392
225.0;0.0;190.0;0.0;210.0;0.0;205.0;0.0;47.07;2632351.0;0.0;30.0;86.99;37.47;60.0;4.0;2322.0;236.789
230.0;0.0;185.0;0.0;210.0;0.0;205.0;0.0;28.09;1570734.0;0.0;1.0;103.91;31.02;61.0;4.0;3350.0;284.485
232.5;0.0;180.0;0.0;210.0;0.0;202.5;0.0;37.47;2095514.0;0.0;37.0;117.05;33.98;62.0;5.0;3445.0;311.783
210.0;0.0;202.5;0.0;207.5;0.0;205.0;0.0;570.03;31878223.0;0.04;8873.0;65.25;37.02;63.0;3.0;1763.0;241.87
212.5;0.0;200.0;0.0;207.5;0.0;205.0;0.0;108.84;6086726.0;0.0;20.0;69.47;34.63;64.0;3.0;2006.0;148.108
215.0;0.0;197.5;0.0;207.5;0.0;205.0;0.0;71.7;4010019.0;0.0;8.0;73.97;42.29;65.0;4.0;1749.0;159.791
217.5;0.0;195.0;0.0;207.5;0.0;205.0;0.0;37.19;2079707.0;0.0;3.0;96.24;32.2;66.0;4.0;2989.0;181.422
217.5;0.0;192.5;0.0;207.5;0.0;202.5;0.0;65.01;3635862.0;0.0;59.0;98.01;32.06;67.0;4.0;3057.0;191.112
222.5;0.0;187.5;0.0;207.5;0.0;202.5;0.0;45.8;2561123.0;0.0;27.0;90.5;35.48;68.0;4.0;2551.0;243.323
227.5;0.0;182.5;0.0;207.5;0.0;202.5;0.0;38.02;2126045.0;0.0;0.0;81.89;40.97;69.0;4.0;1999.0;291.539
230.0;0.0;177.5;0.0;207.5;0.0;200.0;0.0;37.72;2109574.0;0.0;5.0;122.33;32.39;70.0;5.0;3777.0;329.271
237.5;0.0;170.0;0.0;207.5;0.0;200.0;0.0;26.99;1509417.0;0.0;3.0;126.59;30.78;71.0;5.0;4113.0;413.214
237.5;0.0;167.5;0.0;207.5;0.0;197.5;0.0;39.04;2183378.0;0.0;19.0;115.34;35.43;72.0;5.0;3255.0;415.403
207.5;0.0;200.0;0.0;205.0;0.0;202.5;0.0;707.3;39555185.0;0.01;2461.0;72.78;33.6;73.0;3.0;2166.0;330.662
210.0;0.0;197.5;0.0;205.0;0.0;202.5;0.0;126.55;7077138.0;0.0;80.0;61.26;39.82;74.0;3.0;1538.0;149.762
212.5;0.0;195.0;0.0;205.0;0.0;202.5;0.0;60.86;3403602.0;0.0;3.0;89.13;36.99;75.0;4.0;2410.0;155.067
215.0;0.0;192.5;0.0;205.0;0.0;202.5;0.0;43.95;2457900.0;0.0;3.0;83.63;38.73;76.0;4.0;2159.0;178.251
215.0;0.0;190.0;0.0;205.0;0.0;200.0;0.0;79.29;4434359.0;0.0;24.0;82.72;38.99;77.0;4.0;2122.0;191.662
220.0;0.0;185.0;0.0;205.0;0.0;200.0;0.0;41.63;2328111.0;0.0;18.0;102.1;31.15;78.0;4.0;3278.0;251.912
225.0;0.0;180.0;0.0;205.0;0.0;200.0;0.0;32.61;1823798.0;0.0;6.0;92.96;35.57;79.0;4.0;2613.0;288.016
227.5;0.0;175.0;0.0;205.0;0.0;197.5;0.0;53.75;3005686.0;0.0;1.0;85.02;48.7;80.0;5.0;1746.0;312.063
235.0;0.0;167.5;0.0;205.0;0.0;197.5;0.0;33.61;1879554.0;0.0;12.0;106.0;39.42;81.0;5.0;2689.0;401.784
235.0;0.0;165.0;0.0;205.0;0.0;195.0;0.0;41.49;2320503.0;0.0;0.0;106.9;39.26;82.0;5.0;2723.0;398.405
205.0;0.0;197.5;0.0;202.5;0.0;200.0;0.0;528.42;29551318.0;0.01;2476.0;67.99;35.51;83.0;3.0;1915.0;233.748
207.5;0.0;195.0;0.0;202.5;0.0;200.0;0.0;100.77;5635561.0;0.0;97.0;76.28;32.31;84.0;3.0;2361.0;146.972
210.0;0.0;192.5;0.0;202.5;0.0;200.0;0.0;69.53;3888198.0;0.0;49.0;74.98;43.13;85.0;4.0;1738.0;151.937
212.5;0.0;190.0;0.0;202.5;0.0;200.0;0.0;42.2;2359754.0;0.0;16.0;85.08;37.89;86.0;4.0;2245.0;174.947
212.5;0.0;187.5;0.0;202.5;0.0;197.5;0.0;76.1;4255800.0;0.0;50.0;79.65;39.98;87.0;4.0;1992.0;179.396
217.5;0.0;182.5;0.0;202.5;0.0;197.5;0.0;39.21;2193035.0;0.0;0.0;98.11;32.33;88.0;4.0;3035.0;228.608
222.5;0.0;177.5;0.0;202.5;0.0;197.5;0.0;28.68;1603949.0;0.0;13.0;96.04;33.47;89.0;4.0;2869.0;269.199
225.0;0.0;172.5;0.0;202.5;0.0;195.0;0.0;38.21;2137113.0;0.0;46.0;111.08;37.2;90.0;5.0;2986.0;290.42
232.5;0.0;165.0;0.0;202.5;0.0;195.0;0.0;27.73;1550747.0;0.0;36.0;113.77;35.23;91.0;5.0;3229.0;370.918
232.5;0.0;162.5;0.0;202.5;0.0;192.5;0.0;33.52;1874698.0;0.0;11.0;119.58;33.59;92.0;5.0;3560.0;376.205
